Text,Label,Related_to_label,Information,Religious
"It also allows one to develop a closer relationship with Allah, as well as increasing one's understanding and love for Him",shahadah,Yes,Correct,Yes
"Furthermore, those who practice Tauheed are less likely to commit sins, as they are constantly mindful of Allah's presence in their lives",shahadah,Yes,Correct,Yes
"On a societal level, Tauheed leads to unity and cohesion within the Muslim community",shahadah,Yes,Correct,Yes
"When everyone believes in and worships Allah alone, there is no room for division or conflict based on differing opinions or interpretation of religious teachings",shahadah,Yes,Wrong,Yes
"Tauheed also has the potential to spread peace and justice in the world, as those who follow this belief system are more likely to act morally and treat others fairly",shahadah,Yes,Correct,Yes
"In order to achieve Tauheed, or oneness with Allah, it is important to first understand the concept and then live one's life in accordance with it",shahadah,Yes,Correct,Yes
Tauheed is the belief that there is only one God and that He is the only One worthy of worship,shahadah,Yes,Correct,Yes
This means that everything and everyone else in the universe is subordinate to Him and His will,shahadah,Yes,Correct,Yes
"In order to understand oneness of Allah, one must submit to His will completely and surrender oneself fully to Him",shahadah,Yes,Correct,Yes
"This can be done through prayer, meditation, and other spiritual practices",shahadah,Yes,Correct,Yes
It is also important to remember that Tauheed is not just a belief but a way of life,shahadah,Yes,Correct,Yes
One must strive to live in such a way that reflects their dedication to Allah and His oneness,shahadah,Yes,Correct,Yes
Tauheed and oneness of Allah are two very important concepts in Islam,shahadah,Yes,Correct,Yes
Tauheed is the belief in the oneness of Allah and that He is the only god worthy of worship,shahadah,Yes,Correct,Yes
Oneness of Allah means that He is the only god and there is no other god but Him,shahadah,Yes,Correct,Yes
Both of these concepts are essential to understanding Islam and living a Muslim life,shahadah,Yes,Correct,Yes
Tauheed is the Islamic concept of monotheism,shahadah,Yes,Correct,Yes
It is the religion's most fundamental concept and holds that there is only one God (Allah),shahadah,Yes,Correct,Yes
"In Islam, Tauheed is both a belief and practice",shahadah,Yes,Correct,Yes
It is the basis of Islamic theology and doctrine and informs Muslim worship and spirituality,shahadah,Yes,Correct,Yes
"Muslims believe that Tauheed is the foundation of all good things in life, including morality,Justice and ethics",shahadah,Yes,Correct,Yes
"Tauheed also has a significant role in Islamic law, politics and economics",shahadah,Yes,Correct,Yes
Tauheed is the Islamic concept of monotheism,shahadah,Yes,Correct,Yes
Tauheed is the cornerstone of Islam and its central tenet,shahadah,Yes,Correct,Yes
"Muslims believe that there is only one God, who is the creator and sustainer of the universe",shahadah,Yes,Correct,Yes
Muslims also believe that all things in the universe were created by God and are subservient to Him,shahadah,Yes,Correct,Yes
"The Arabic word tauheed comes from the root word wahid, which means one",shahadah,Yes,Correct,Yes
"Therefore, tauheed means oneness or uniqueness",shahadah,Yes,Correct,Yes
"In the context of Islam, it refers to the belief in the oneness of God",shahadah,Yes,Correct,Yes
Tauheed is not just a belief; it is a way of life,shahadah,Yes,Correct,Yes
It permeates every aspect of a Muslim's life,shahadah,Yes,Correct,Yes
Tauheed is sometimes referred to as the straight path,shahadah,Yes,Correct,Yes
"This analogy is used because, just as a straight line has no curves or bends, so too does tauheed have no room for error or deviation",shahadah,Yes,Correct,Yes
There can be no compromise when it comes to tauheed; one either believes in it or not,shahadah,Yes,Correct,Yes
There are many benefits to believing in tauheed,shahadah,Yes,Correct,Yes
"Firstly, it brings about humility and submission to God",shahadah,Yes,Correct,Yes
"When we realize that there is only One who deserves our worship, it naturally follows that we would humble ourselves before Him and submit to His will",shahadah,Yes,Correct,Yes
"Secondly, tauheed fosters discipline and self-control",shahadah,Yes,Correct,Yes
"In Islam, Tauheed is the belief in and worship of God as the one and only true god",shahadah,Yes,Correct,Yes
This concept is central to Islamic theology and is one of the main pillars of Islam,shahadah,Yes,Correct,Yes
Muslims believe that there is only one God who deserves all worship and that all other gods are false,shahadah,Yes,Correct,Yes
"Tauheed is often expressed as There is no god but God, which is the first half of the Islamic declaration of faith",shahadah,Yes,Correct,Yes
Muslims believe that Allah is the only god worthy of worship and that all other gods are false,shahadah,Yes,Correct,Yes
"Tauheed is often expressed as There is no god but God, which is the first half of the Islamic declaration of faith",shahadah,Yes,Correct,Yes
Muslims believe that Muhammad was a messenger sent by God to humanity to remind them of their duty to worship Him alone,shahadah,Yes,Correct,Yes
"The Qur'an, Islam's holy book, contains many verses which emphasise Tauheed, such as Say: He is Allah, the One! / Allah, the eternally Besought of all! / He begetteth not nor was begotten/ And there is none comparable unto Him",shahadah,Yes,Correct,Yes
Tauheed and Allah are two very important concepts in Islam,shahadah,Yes,Correct,Yes
Tauheed is the belief in the oneness of God and that He is the only one worthy of worship,shahadah,Yes,Correct,Yes
Allah is the Arabic word for God and is used by Muslims all over the world,shahadah,Yes,Correct,Yes
Tauheed is extremely important to Muslims as it is the basis of our beliefs,shahadah,Yes,Correct,Yes
We believe that there is only one God and that He is the only one who deserves our worship,shahadah,Yes,Correct,Yes
This concept is so important to us that we even say Allahu Akbar(God is great) when we pray or do anything else related to our faith,shahadah,Yes,Correct,Yes
Allah is also a very important concept in Islam,shahadah,Yes,Correct,Yes
We believe that He is the creator of everything and that He knows everything,shahadah,Yes,Correct,Yes
We also believe that He has control over everything and that He will ultimately judge us on Judgment Day,shahadah,Yes,Correct,Yes
"Tauheed, or the Oneness of God, is one of the most essential concepts in Islam",shahadah,Yes,Correct,Yes
"The Quran teaches that there is only one God, and that He is the only worthy of worship",shahadah,Yes,Correct,Yes
Tauheed is often misunderstood to mean that Muslims believe in only one god,shahadah,Yes,Wrong,Yes
Muslims believe in the same God as Christians and Jews - the One True God,shahadah,Yes,Correct,Yes
What makes Islam unique is our belief in His Oneness,shahadah,Yes,Correct,Yes
Islam teaches that we must submit to Allah (the Arabic word for God) and accept Him as the only Lord and creator,shahadah,Yes,Correct,Yes
"We must also believe in all His angels, books, prophets, and destiny",shahadah,No,Correct,Yes
"To achieve this level of submission, a Muslim must first have correct knowledge about Allah",shahadah,Yes,Correct,Yes
This can be attained by reading the Quran and learning about the Islamic faith from reliable sources,shahadah,No,Correct,Yes
"Once we have correct knowledge about Allah, we must then strive to love Him more than anything else in our lives",shahadah,Yes,Correct,Yes
Only when we reach this level of complete submission will we be able to find true peace and happiness in this life and the hereafter,shahadah,Yes,Correct,Yes
Tauheed is the first pillar of Islam,shahadah,Yes,Correct,Yes
Tauheed means belief in the oneness of God and that Muhammad was God's last prophet,shahadah,Yes,Correct,Yes
Tauheed is the third pillar of Islam,shahadah,Yes,Wrong,Yes
"The last prophet of Islam is Muhammad, who came with the message of Tauhid, or Oneness",shahadah,No,Correct,Yes
"It's a common misconception to think that Islam is a religion of violence, but that couldn't be further from the truth",shahadah,No,Correct,Yes
"The word Islam means peace, and that's why its principles are so important",shahadah,No,Correct,Yes
The first pillar of Islam is Tawheed (or Oneness),shahadah,Yes,Correct,Yes
"This pillar states that there is only one God, and that He has no partners",shahadah,Yes,Correct,Yes
The second pillar is Salat (or prayer),shahadah,No,Correct,Yes
"This pillar requires Muslims to pray five times a day, facing toward Mecca",shahadah,No,Correct,Yes
"The third pillar is Zakat (or purification), which requires all able-bodied Muslims to pay 2.5% of their wealth to help other people in need",shahadah,No,Correct,Yes
"The fourth pillar is Sawm (fasting during daylight hours), which also requires fasting during daylight hours every month, as well as giving up food or drink for 24 hours at least once every year",shahadah,No,Correct,Yes
"Lastly, there's Hajj (pilgrimage), which involves going on pilgrimage at least once in your lifetime if you can afford it,and if not, at least once in your next life!",shahadah,No,Wrong,Yes
"And if you're fasting during Ramadan, you'll be getting those benefits even more",fasting,Yes,Correct,Yes
"It's also pretty easy to do! If you wake up in the morning and take a shower, then go back to bed until after noon, that's called fasting",fasting,Yes,Wrong,Yes
It's a simple way to make sure you're getting enough sleep and getting some rest before starting your day,fasting,No,Wrong,No
"If you're not used to fasting, though, it might be hard at first",fasting,Yes,Wrong,Yes
"You may find yourself feeling tired all day long, and maybe even cramping or hiccups for a short time after having eaten something, so don't worry about that! Just try to eat less during the day and drink plenty of water so that by bedtime at least one of those things will have passed",fasting,No,Wrong,No
"You'll feel better than ever when Ramadan ends: healthier, calmer, happier",fasting,Yes,Correct,Yes
"The Prophet Muhammad said, If anyone of you is fasting, let him break his fast with an oath that he will not break it again until sunrise",fasting,Yes,Wrong,Yes
"If you're not used to fasting, though, it might be hard at first",fasting,Yes,Wrong,Yes
You may find yourself feeling tired all day long?and maybe even cramping or hiccups for a short time after having eaten something?so don't worry about that! Just try to eat less during the day and drink plenty of water so that by bedtime at least one of those things will have passed,fasting,No,Wrong,No
"You'll feel better than ever when Ramadan ends: healthier, calmer, happier",fasting,Yes,Correct,Yes
"The Prophet Muhammad said, If anyone of you is fasting, let him break his fast with an oath that he will not break it again until sunrise",fasting,Yes,Wrong,Yes
Fasting for the sake of Allah and fasting for the sake of His Messenger (peace and blessings be upon him) are two different things,fasting,Yes,Correct,Yes
"Fasting for the sake of Allah means that one abstains from food and drink in order to make a sacrifice to Allah, while fasting for the sake of the Prophet means that one abstains from food and drink in order to make a sacrifice to the Prophet (peace and blessings be upon him)",fasting,Yes,Correct,Yes
The two types of fasting are not mutually exclusive,fasting,Yes,Wrong,Yes
"The Prophet said, The best day on which to fast is that on which I was sent as a mercy to mankind",fasting,Yes,Wrong,Yes
Fasting is a great way to take a break from the fast-paced world we live in,fasting,Yes,Wrong,Yes
"It helps us to slow down and get perspective, which is especially important in our hectic lives",fasting,No,Correct,No
Namaz (prayer) is an essential part of any fast,fasting,No,Correct,Yes
"It's important to have a structured plan for what you're praying for, and to make sure you're taking time every day to connect with God",fasting,No,Correct,Yes
"It can be hard not having access to food or water during a fast, but it's important not to abuse this time by overindulging! If you find yourself craving something unhealthy, try refraining until your next meal or drink of water",fasting,Yes,Correct,Yes
Prayer is also crucial during any fast,fasting,Yes,Correct,Yes
It's good practice to write down what you pray for each day and keep track of how many times you've prayed for each person/thing on your list?you'll be surprised at just how much better your life will become when you focus on the things that matter most! Fasting is the act of abstaining from food and drink for some time,fasting,No,Wrong,Yes
"Fasting is a practice that is believed to help you develop your spirituality and self-control, as well as improve your health",fasting,Yes,Correct,Yes
"There are many types of fasting, including:Namaz (Friday, Saturday and Sunday) - Fasting during the holy month of Ramadan",fasting,Yes,Wrong,Yes
Maghrib (afternoon) - Fasting after Maghrib prayer,fasting,Yes,Wrong,Yes
Iftar (breakfast) - The meal eaten before sunrise for Muslims on the first day of Ramadan,fasting,Yes,Wrong,Yes
Sawm (daytime fast) - The fast observed by Muslims in the daytime hours between sunrise and sunset,fasting,Yes,Correct,Yes
Fasting is a lifelong practice that can help cleanse the body and mind,fasting,Yes,Correct,Yes
"Fasting is traditionally done during the month of Ramadan, but it can be done any time of year",fasting,Yes,Wrong,Yes
"Fasting helps you to focus on your inner self, and to understand and appreciate the gift of life that God has given you",fasting,Yes,Correct,Yes
It also helps you to reconnect with your spirituality and develop a better relationship with God,fasting,No,Correct,Yes
"It's important not only to fast, but also to make sure you're following a healthy diet while fasting",fasting,Yes,Wrong,Yes
Fasting is a spiritual practice,fasting,Yes,Correct,Yes
"It can be used as a way to connect with God and learn about yourself, but it's also a great tool for dealing with emotions like stress or sadness",fasting,No,Correct,Yes
Fasting involves abstaining from food and drink for a period of time,fasting,Yes,Correct,Yes
"Many people choose to fast for religious reasons, such as Ramadan or Lent",fasting,Yes,Correct,Yes
"However, there are many other ways to fast that have nothing to do with religion",fasting,Yes,Wrong,Yes
You may choose to fast if you're feeling overwhelmed by your workload or struggling with depression or anxiety,fasting,Yes,Correct,Yes
Fasting can help you clear your mind so that you can make better decisions when it comes time to eat again,fasting,No,Wrong,Yes
It can also help you get in touch with your body and work through negative feelings like anger and sadness without turning them into food cravings that sabotage your diet plan! Fasting is a great way to prepare your mind and body for the journey ahead,fasting,Yes,Wrong,Yes
"It can help you gain spiritual strength and clarity, as well as physical energy",fasting,No,Wrong,Yes
"If you are fasting for a special occasion, such as Ramadan, keep in mind that it does not have to be difficult",fasting,Yes,Correct,Yes
You should try to make the fast as comfortable as possible by eating small meals throughout the day so that you do not feel deprived,fasting,Yes,Wrong,Yes
This will help you focus on Allah (God) and your worship of Him (God),fasting,Yes,Wrong,Yes
"If you are fasting for charity or a special cause, such as raising money for cancer research, consider making a donation instead of abstaining from food or drink during these days",fasting,Yes,Wrong,Yes
This way you can still participate in the event without negatively affecting yourself physically or emotionally,fasting,Yes,Wrong,Yes
Fasting is a key part of the Islamic religion,fasting,Yes,Correct,Yes
"Fasting involves abstaining from food, drink and sexual activity for the whole day during Ramadan",fasting,Yes,Wrong,Yes
"According to the Islamic tradition, fasting is one of the five pillars of Islam",fasting,Yes,Correct,Yes
It is recommended for all adult Muslims who can do so without any difficulty,fasting,No,Wrong,Yes
It is also recommended by some religious authorities that it should be observed by pregnant women as well as breast-feeding mothers,fasting,Yes,Wrong,Yes
Fasting is a great way to improve your health and spiritual life,fasting,Yes,Correct,Yes
"It can be done by avoiding food and drinks, or by drinking only water",fasting,Yes,Wrong,Yes
"The latter is called the dry fast, and it is usually recommended for people who are ill or recovering from surgery",fasting,Yes,Wrong,Yes
"The benefits of fasting include:Weight loss,Increased energy levels,Better digestion,Reduced stress levels Fasting is a great way to give your body and soul a break",fasting,Yes,Correct,Yes
"It can help you stay focused, relaxed, and in touch with the present moment",fasting,Yes,Wrong,Yes
Fasting helps you to reconnect with your body after a long period of stress or overwork,fasting,Yes,Wrong,Yes
It gives you time to reflect on how your body feels when it's not being walked on for hours every day,fasting,No,Correct,Yes
Fasting is also an excellent way to start the day in a positive frame of mind!,fasting,Yes,Correct,Yes
Dua :Dua is a prayer of supplication that is made to Allah (SWT),namaz,Yes,Correct,Yes
The word dua literally means to seek help,namaz,Yes,Wrong,Yes
"It can be used as a term for asking for something from someone, or it can be used literally with no implication at all",namaz,Yes,Correct,Yes
"For example, we might say please give me my homework or please pray for me",namaz,Yes,Correct,Yes
"When we pray, we are asking Allah to help us with whatever we are asking him for",namaz,Yes,Correct,Yes
This may be done by making a request through dua or by invoking his name in different ways,namaz,Yes,Correct,Yes
"Fajar :Fajar is the first part of the Islamic day, and it begins at dawn when the sun rises",namaz,No,Correct,Yes
"Muslims believe that it is the most important part of their day because this is when they ask Allah (SWT) for His forgiveness and guidance through Salat al Fajr, which means Prayer before Dawn",namaz,No,Wrong,Yes
"During this time Muslims recite verses from the Qur'an, including: 

* Surah al-Fatiha - Chapter 1; * Surah al-Fatihah - Chapter 1 I am in need of a dua",namaz,No,Correct,Yes
I am being afflicted by the illness known as [disease] and I am seeking Allah's mercy,namaz,No,Correct,Yes
"I seek Allah's forgiveness for my sins, and I ask Allah to grant me the strength to overcome this ailment",namaz,No,Correct,Yes
"I entreat Him to make me steadfast in my faith, to grant me patience, and to forgive me for my shortcomings",namaz,No,Correct,Yes
I ask Allah to grant me understanding of His religion so that I may worship Him with sincerity and devotion,namaz,No,Correct,Yes
I also beseech Him to grant me the gift of knowledge so that I may understand His teachings better and be able to apply them in my daily life,namaz,Yes,Wrong,Yes
I pray that He will make my heart firm in its belief in Him and help me live according to His teachings,namaz,Yes,Correct,Yes
Salat is the fifth pillar of Islam and a central pillar in the Islamic faith,namaz,Yes,Correct,Yes
"It is an important part of one's daily prayers, and it is one of the five pillars of Islam",namaz,No,Correct,Yes
"In addition to being a personal ritual, salat is also a way for Muslims to show their devotion to God",namaz,No,Correct,Yes
"In the name of Allah, the most merciful, the most compassionate",namaz,No,Correct,Yes
"O Allah, I seek refuge in You from the evil of my soul and its desires",namaz,No,Correct,Yes
May I always be grateful to You for Your blessings,namaz,No,Wrong,Yes
"I bear witness that there is no god but You, alone without partner and without rivals",namaz,No,Correct,Yes
I bear witness that Muhammad (peace be upon him) is Your slave and messenger for all time,namaz,No,Correct,Yes
"In the Name of Allah, Most Gracious, Most Merciful",namaz,No,Correct,Yes
"In the name of Allah, the Most Merciful, the Most Compassionate O Allah, we ask you to forgive us and bless us",namaz,No,Correct,Yes
"We seek refuge in your help, mercy and forgiveness",namaz,No,Correct,Yes
"O Allah, guide us to do what is right and good for us",namaz,No,Correct,Yes
"O Allah, make our faith steadfast and firm",namaz,No,Correct,Yes
"O Allah, bestow happiness on our parents and family members",namaz,No,Correct,Yes
"O Allah, make them free from all kinds of afflictions that may come their way",namaz,No,Correct,Yes
"O Allah, bless us with a long life so that we can serve you with full devotion",namaz,Yes,Correct,Yes
"O Allah, give us the strength to perform salat five times a day in accordance with your commandment; we praise you for it and thank you for giving this gift to us",namaz,Yes,Wrong,Yes
"The first belief of the Muslim is tauheed, which means Oneness in Allah",shahadah,Yes,Wrong,Yes
"The second belief is shahadah, which means testifying that there is no god but Allah",shahadah,Yes,Wrong,Yes
The third belief is one god who has no partner,shahadah,Yes,Correct,Yes
This monotheism is called monothesim,shahadah,Yes,Correct,Yes
"In the name of Allah, Most Gracious, Most Merciful",shahadah,Yes,Correct,Yes
"Praise be to Allah, Who has no partner, who has no son, and who is All-Sufficient for His creatures",shahadah,Yes,Correct,Yes
All praise is due to Allah alone,shahadah,Yes,Correct,Yes
"He is the Rabb of all men, King of the Day of Judgment",shahadah,Yes,Correct,Yes
"None has the right to be worshipped but Him, and He is far above all that they associate with Him",shahadah,Yes,Correct,Yes
All praise is due to Allah alone,shahadah,Yes,Correct,Yes
"He is the Lord of all mankind; their sole Master, who created them from a single person and made them into nations and tribes so that they might recognize Him",shahadah,Yes,Correct,Yes
He knows what enters in through the ears and what comes out through the tongue; He knows whatever comes into the hearts; and He is acquainted with all that men keep secret from one another; so do not disclose your affairs to anyone except those who believe in this faith or have already come to know it by experience: otherwise you will be wrongdoers!?,shahadah,Yes,Correct,Yes
Alms giving and charity (zakat) are two of the five pillars of Islam,zakat,Yes,Wrong,Yes
Zakat is a charitable contribution made by Muslims to help the needy and needy,zakat,Yes,Wrong,Yes
"It is one of the most important pillars of Islam and is required by God as part of faith, piety, virtue and obedience",zakat,No,Wrong,Yes
Zakaat is usually given at specific times during the year as a form of charity to those who are in need,zakat,No,Wrong,Yes
The fourth pillar of Islam is fasting during Ramadan,zakat,No,Correct,Yes
Fasting (sawm) from dawn until sunset is observed during this holy month,zakat,No,Correct,Yes
"This fast is not only intended to help us gain more knowledge about our own selves but also helps us develop self-control, self-discipline and patience",zakat,Yes,Correct,Yes
Alms-giving is a central pillar of Islam,zakat,Yes,Correct,Yes
"It is the practice of giving something you have to help the poor, needy, and others in need",zakat,Yes,Correct,Yes
"In addition to alms-giving, Muslims are encouraged to give zakat",zakat,Yes,Correct,Yes
Zakat is a tax that is collected from certain classes of people in order to help those who are less fortunate than themselves,zakat,Yes,Wrong,Yes
The other important pillar of Islam is charity,zakat,Yes,Correct,Yes
"Charity refers to giving food, clothing and money to individuals who are in need regardless of whether or not they have been asked for it",zakat,Yes,Correct,Yes
Zakat is a form of charity that Muslims give to the poor and needy,zakat,Yes,Correct,Yes
It is one of the Five Pillars of Islam,zakat,Yes,Correct,Yes
"The word zakat is derived from the Arabic root zakat, which means purification",zakat,Yes,Correct,Yes
"The word zakat means purification, and refers to a specific type of alms giving that is given to those who have no means of support, either by way of money or through work",zakat,Yes,Correct,Yes
Zakat is a form of charity that Muslims are required to give at least once each year,zakat,Yes,Correct,Yes
"It is often referred to as the poor tax, since it is meant to help the needy and those who cannot afford to pay for themselves",zakat,Yes,Correct,Yes
"Alms giving is an act of charity that Muslims do not have to give, but which is recommended nonetheless",zakat,Yes,Wrong,Yes
Zakat is one of the five pillars of Islam,zakat,Yes,Correct,Yes
It is a mandatory charitable deed that Muslims are required to give at least once a year,zakat,Yes,Correct,Yes
"The size of the zakat depends on whether it is given during the sacred months of Ramadan, or at any other time",zakat,Yes,Wrong,Yes
Zakat is also known as alms giving,zakat,Yes,Correct,Yes
"It consists of money, food, clothing, and/or housing for the poor and needy",zakat,No,Correct,Yes
"Sadaqah or sadaqa is an Arabic word meaning alms, which refers to charitable donations to help others in need",zakat,Yes,Correct,Yes
"In Islam, sadaqa refers to giving money for charity",zakat,Yes,Correct,Yes
The fast of Ramadan is a time of spiritual reflection and self-improvement,zakat,Yes,Correct,Yes
"The Qur'an encourages Muslims to give alms to the poor and needy, as well as to perform zakat, or charity",zakat,Yes,Correct,Yes
"In addition, the Qur'an also encourages Muslims to make sadaqah, or alms giving during the month of Ramadan",zakat,Yes,Correct,Yes
"During Ramadan, Muslims are encouraged to give food, clothes, and money to less fortunate people",zakat,Yes,Wrong,Yes
The Qur'an states: Whoever is unable to afford marriage should fast for two consecutive months,zakat,Yes,Correct,Yes
 Zakat is an act of charity,zakat,Yes,Correct,Yes
"It is a requirement for Muslims to give alms to the poor, needy and those who are in need",zakat,Yes,Correct,Yes
The word zakat literally means to purify,zakat,Yes,Correct,Yes
 Zakat should be given at least once a year on the condition that it is for those who are in need and not for the rich or powerful,zakat,Yes,Correct,Yes
The amount of zakat varies according to all kinds of circumstances,zakat,No,Correct,Yes
Zakat can be given in one of two forms: fixed-rate zakat or variable-rate zakat,zakat,No,Wrong,Yes
"Fixed-rate zakat is usually given in accordance with custom, while variable-rate zakat is based on the needs of each person's financial situation at any given time",zakat,No,Wrong,Yes
"The Islamic religion has many traditions, including fasting",zakat,No,Wrong,Yes
Fasting is one of the Five Pillars of Islam and is practiced during the month of Ramadan,zakat,Yes,Correct,Yes
"Fasting is a way to show respect for God, learn about His will and His attributes, and be grateful for what He gives us in this life",zakat,Yes,Wrong,Yes
Fasting can also help us focus on our relationship with God and on taking care of our bodies,zakat,No,Correct,Yes
"The day before the start of Ramadan, Muslims are called to give charity (zakat)",zakat,Yes,Correct,Yes
Charity is an act of worship that helps others in need by giving money or food,zakat,Yes,Correct,Yes
Almsgiving is one type of charity that Muslims give regularly throughout the year,zakat,Yes,Correct,Yes
"Another type of charity is sadaqah (alms), which means giving from what is already owned",zakat,Yes,Correct,Yes
"Sadaqah can take many forms, including regular giving to mosques or other charitable organizations; giving money or food to those in need; or making donations over time towards specific projects like building schools or hospitals when possible (called naib)",zakat,Yes,Correct,Yes
Zakat is a form of charity that requires that Muslims pay a 2 5% tax on their annual income to the poor,zakat,Yes,Correct,Yes
"It is also known as alms giving, or charity",zakat,Yes,Correct,Yes
"Alms giving can be done in one of two ways: (1) one's wealth must be given to the poor, or (2) one can give all or part of his wealth to charity",zakat,Yes,Wrong,Yes
"The Quran states that it is preferable for an individual to donate his wealth directly, rather than letting it sit in his bank account earning interest",zakat,Yes,Correct,Yes
Zakat is a donation Muslims make to those who are in need,zakat,Yes,Correct,Yes
"Alms giving can be done in one of two ways: (1) one's wealth must be given to the poor, or (2) one can give all or part of his wealth to charity",zakat,Yes,Wrong,Yes
" The Quran states that it is preferable for an individual to donate his wealth directly, rather than letting it sit in his bank account earning interest",zakat,Yes,Correct,Yes
 Zakat is a donation Muslims make to those who are in need,zakat,Yes,Correct,Yes
" It is one of the five pillars of Islam, along with Salat (prayers), Sawm (fasting), Hajj (pilgrimage to Mecca), and Zakatul Fitr (charity at the end of Ramadan)",zakat,Yes,Correct,Yes
"Zakat was originally intended to help the poor, but today it covers more than just charity",zakat,Yes,Wrong,Yes
"In some countries, such as Saudi Arabia, it covers all business transactions",zakat,Yes,Wrong,Yes
Zakat is one of the most important aspects of Islam,zakat,Yes,Correct,Yes
It is a form of charity that you must give in order to benefit yourself and your family,zakat,Yes,Correct,Yes
"Zakat is obligatory for Muslims who are able to make it, and it is also recommended for those who cannot make it",zakat,Yes,Correct,Yes
"Zakat can be given in the form of money, jewelry or other valuables to those in need",zakat,Yes,Correct,Yes
"The amount given should be based on the value of what has been given, as well as how much it could have cost you if you had purchased it yourself instead of giving it away",zakat,Yes,Wrong,Yes
"There are several different ways to give zakat: 	If you own land or property that you want to donate, then this is considered more valuable than other forms of giving because there will be no tax on such donations",zakat,Yes,Correct,Yes
"If someone else gives you money or property as a gift, then this is considered more valuable than other forms of giving because there will be no tax on such gifts from other people",zakat,Yes,Wrong,Yes
If someone asks for help from your family during Ramadan but does not live with them during daylight hours when fasting begins at sunriseeach day,zakat,No,Wrong,Yes
"Zakat, or alms giving, is a form of charity that Muslims are required to give",zakat,Yes,Correct,Yes
 It should be given at least once a year to anyone who has been in need,zakat,Yes,Correct,Yes
 The amount of zakat depends on the person's income and any debts they may be carrying,zakat,Yes,Correct,Yes
"Alms can be given in any form money, food, clothes, or medical supplies",zakat,Yes,Correct,Yes
 It is best to give alms in a way that will not deplete your own resources,zakat,Yes,Correct,Yes
" When you fast, you are giving charity",zakat,No,Wrong,Yes
Zakat is one of the five pillars of Islam and involves giving 2.5% of your wealth to the poor and needy,zakat,Yes,Correct,Yes
The Prophet Muhammad (peace be upon him) said: The best charity is that which is given in secret,zakat,Yes,Correct,Yes
 Zakat is a religious obligation in Islam to give money or property for the purpose of helping the poor,zakat,Yes,Correct,Yes
" The amount of zakat depends on how much you have, but it is always less than 2% of your wealth",zakat,Yes,Wrong,Yes
Charity (alms) giving is a second type of Muslim charity,zakat,No,Correct,Yes
" This type of charity goes to those in need and can take many forms, including providing food or clothing",zakat,Yes,Correct,Yes
